Sector,Model,RMSE,MAE,R2,MAPE,MSE,Overfit_Ratio,CV_MSE,N_Trials,Time_s,Best_Params
Residential,SVR,123.59,91.23,0.8784,5.6,15275.49,2.218,0.059474,80,82.1,"{'C': 1.8578788789800718, 'epsilon': 0.003531987349659894, 'kernel': 'linear'}"
Residential,ExtraTrees,124.49,90.47,0.8766,5.6,15498.24,9.652,0.069184,80,39.5,"{'n_estimators': 157, 'max_depth': 10, 'min_samples_leaf': 3}"
Residential,Ridge,126.32,94.62,0.873,5.87,15956.07,2.306,0.063064,80,0.5,{'alpha': 9.92248567299674}
Residential,ElasticNet,126.86,94.28,0.8719,5.81,16092.89,2.253,0.059362,80,2.9,"{'alpha': 0.004971197172386327, 'l1_ratio': 0.8140916092262704}"
Residential,Lasso,126.88,94.29,0.8718,5.8,16099.6,2.246,0.059201,80,2.2,{'alpha': 0.0042765139134305725}
Residential,OMP,130.83,97.48,0.8637,5.99,17117.11,2.226,0.061603,80,0.5,{'n_nonzero_coefs': 14}
Residential,RandomForest,140.56,99.7,0.8427,6.09,19758.5,7.438,0.088409,80,47.6,"{'n_estimators': 114, 'max_depth': 13, 'min_samples_leaf': 3, 'min_samples_split': 4}"
Residential,GradientBoosting,143.88,99.86,0.8352,6.05,20700.54,25.732,0.074628,80,81.3,"{'n_estimators': 244, 'max_depth': 4, 'learning_rate': 0.03464535502603449, 'subsample': 0.8290544985555174, 'min_samples_leaf': 3}"
Residential,KNN,148.9,107.21,0.8235,6.61,22170.41,1.392294404005541e+32,0.104729,80,4.3,"{'n_neighbors': 2, 'weights': 'distance', 'p': 1}"
Commercial,OMP,61.03,47.94,0.8132,3.51,3724.38,2.714,0.031052,80,0.6,{'n_nonzero_coefs': 33}
Commercial,Ridge,61.26,47.7,0.8118,3.49,3752.9,2.727,0.030949,80,0.5,{'alpha': 0.074009963034195}
Commercial,SVR,61.34,47.42,0.8113,3.46,3762.22,2.672,0.027217,80,76.7,"{'C': 4.471821764171266, 'epsilon': 0.05297247866101384, 'kernel': 'linear'}"
Commercial,Lasso,61.45,47.55,0.8106,3.48,3776.56,2.733,0.029737,80,8.0,{'alpha': 0.0001226136176593512}
Commercial,ElasticNet,61.46,47.55,0.8106,3.48,3776.88,2.733,0.02977,80,9.6,"{'alpha': 0.0001267457418454029, 'l1_ratio': 0.9352480498269687}"
Commercial,ExtraTrees,68.01,51.5,0.768,3.8,4625.62,11.766,0.082391,80,47.2,"{'n_estimators': 200, 'max_depth': 9, 'min_samples_leaf': 3}"
Commercial,RandomForest,72.86,55.88,0.7337,4.08,5308.66,7.358,0.075695,80,40.8,"{'n_estimators': 33, 'max_depth': 11, 'min_samples_leaf': 3, 'min_samples_split': 8}"
Commercial,GradientBoosting,75.02,58.04,0.7177,4.26,5628.12,789.392,0.065154,77,121.8,"{'n_estimators': 247, 'max_depth': 8, 'learning_rate': 0.03460028237691544, 'subsample': 0.6457507903538119, 'min_samples_leaf': 3}"
Commercial,KNN,80.6,63.22,0.6742,4.69,6495.71,1140632304780978.2,0.204871,80,2.6,"{'n_neighbors': 2, 'weights': 'distance', 'p': 2}"
Industrial,KNN,67.61,47.86,0.643,1.88,4570.86,inf,0.556469,80,2.7,"{'n_neighbors': 3, 'weights': 'distance', 'p': 1}"
Industrial,ExtraTrees,68.66,49.68,0.6318,1.94,4714.69,5.335,0.283374,80,46.5,"{'n_estimators': 164, 'max_depth': 10, 'min_samples_leaf': 3}"
Industrial,SVR,71.06,48.71,0.6057,1.93,5049.26,1.137,0.150211,80,28.7,"{'C': 0.03010671244208604, 'epsilon': 0.11642746635136182, 'kernel': 'linear'}"
Industrial,Ridge,71.51,48.54,0.6006,1.91,5113.59,1.148,0.15631,80,0.5,{'alpha': 25.879424303801358}
Industrial,ElasticNet,75.51,52.97,0.5547,2.08,5701.13,1.016,0.139221,80,3.2,"{'alpha': 0.05032360775422777, 'l1_ratio': 0.8633535106060528}"
Industrial,Lasso,75.51,53.0,0.5547,2.08,5701.35,1.014,0.138569,80,2.7,{'alpha': 0.044852239481373145}
Industrial,GradientBoosting,75.7,55.61,0.5525,2.18,5729.8,46.537,0.18699,80,107.0,"{'n_estimators': 90, 'max_depth': 8, 'learning_rate': 0.07620223535495635, 'subsample': 0.5886234562017767, 'min_samples_leaf': 4}"
Industrial,OMP,76.38,54.07,0.5444,2.12,5834.18,1.023,0.125439,80,0.5,{'n_nonzero_coefs': 4}
Industrial,RandomForest,78.13,57.39,0.5232,2.25,6104.95,1.944,0.273005,80,40.6,"{'n_estimators': 28, 'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 6}"
Transportation,Lasso,94.5,51.51,0.636,2.42,8930.55,7.057,0.023391,80,3.1,{'alpha': 0.0009938145496956195}
Transportation,ElasticNet,94.59,51.59,0.6353,2.42,8948.09,7.105,0.023371,80,4.6,"{'alpha': 0.0011574277244140742, 'l1_ratio': 0.7850190822568529}"
Transportation,SVR,96.03,52.44,0.6241,2.46,9221.39,7.556,0.023762,80,89.6,"{'C': 0.2753026669979954, 'epsilon': 0.03851141612318775, 'kernel': 'linear'}"
Transportation,Ridge,98.74,55.77,0.6026,2.6,9749.31,8.266,0.023759,80,0.5,{'alpha': 0.4252432951145515}
Transportation,OMP,99.25,59.75,0.5985,2.76,9850.47,7.965,0.025257,80,0.6,{'n_nonzero_coefs': 25}
Transportation,KNN,114.49,72.95,0.4657,3.38,13107.71,1997743427435348.2,0.247453,80,3.6,"{'n_neighbors': 2, 'weights': 'distance', 'p': 2}"
Transportation,ExtraTrees,116.64,74.23,0.4455,3.42,13604.45,42.62,0.150326,80,54.1,"{'n_estimators': 131, 'max_depth': 11, 'min_samples_leaf': 3}"
Transportation,GradientBoosting,126.25,76.31,0.3503,3.55,15940.31,204508.627,0.127913,68,122.1,"{'n_estimators': 132, 'max_depth': 6, 'learning_rate': 0.2206668096643187, 'subsample': 0.9326293745978704, 'min_samples_leaf': 5}"
Transportation,RandomForest,133.25,80.76,0.2763,3.74,17754.71,27.698,0.131348,80,63.9,"{'n_estimators': 183, 'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 2}"
