Sector,Noise_Level,MSE,R2
Commercial,0.0,0.0030793540629114246,0.9883774501478718
Commercial,0.01,0.0032204613691886727,0.9878448622517738
Commercial,0.025,0.004050507377302838,0.9847119808384084
Commercial,0.05,0.0070829441873552605,0.9732665129648829
Commercial,0.1,0.019331668294443126,0.9270355815256465
Commercial,0.2,0.06856451845655098,0.7412137358784308
Residential,0.0,0.0015828960418280958,0.9982011490150663
Residential,0.01,0.001885934545614489,0.9978567668847153
Residential,0.025,0.0034704697976021253,0.9960560530517284
Residential,0.05,0.009124635207736298,0.9896304882968558
Residential,0.1,0.0317327409910851,0.9639379524125071
Residential,0.2,0.12214805241010449,0.8611872551453947
Industrial,0.0,0.05268947901650272,0.8026301442154007
Industrial,0.01,0.05304688397843554,0.8012913386870468
Industrial,0.025,0.053944225343226404,0.7979299819406107
Industrial,0.05,0.05640308474292228,0.7887193248194693
Industrial,0.1,0.06493314276123056,0.7567665260381327
Industrial,0.2,0.09644261567351343,0.6387349903192434
Transportation,0.0,0.039363165339870894,0.8487598789550745
Transportation,0.01,0.0392044943077666,0.8493695206313618
Transportation,0.025,0.0391658527088753,0.8495179883687308
Transportation,0.05,0.03963308990876352,0.8477227818588465
Transportation,0.1,0.04256121380119136,0.8364724210684564
Transportation,0.2,0.056392059556652684,0.78333190840519
